reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	multimapped	multimapped_percentage	fastq_name	Mismatches
29396829.0	23994387.0	81.62	5402442.0	18.38	157131.0	0.53	BA69_CA2_cp_76_1	1
33255858.0	25214337.0	75.82	8041521.0	24.18	49226.0	0.15	BA69_CA2_svz_76_1	1
33124688.0	28331259.0	85.53	4793429.0	14.47	26505.0	0.08	BA69_CA2_cc_76_1	1
13950407.0	12674796.0	90.86	1275611.0	9.14	15420.0	0.11	BA69_CA2_th_76_1	1
22557009.0	15446792.0	68.48	7110217.0	31.52	38855.0	0.17	BA69_CA2_cor_83_1	1
33420547.0	27162070.0	81.27	6258477.0	18.73	101223.0	0.3	BA69_CA2_hi_76_1	1
40935020.0	36427575.0	88.99	4507445.0	11.01	308085.0	0.75	BA70_CA2_plx_75_1	1
12989606.0	11018386.0	84.82	1971220.0	15.18	43294.0	0.33	BA70_CA2_hi2_75_1	1
29198249.0	24231457.0	82.99	4966792.0	17.01	117393.0	0.4	BA70_CA2_vis_75_1	1
36704472.0	31370501.0	85.47	5333971.0	14.53	76889.0	0.21	BA70_CA2_cp_83_1	1
30679381.0	26936548.0	87.8	3742833.0	12.2	76461.0	0.25	BA70_CA2_mid_75_1	1
27492607.0	25126501.0	91.39	2366106.0	8.61	39140.0	0.14	BA70_CA2_pon_75_1	1
43639926.0	37179351.0	85.2	6460575.0	14.8	74752.0	0.17	BA70_CA2_cer_75_1	1
41844698.0	32499758.0	77.67	9344940.0	22.33	181966.0	0.43	BA70_CA2_med_75_1	1
29920834.0	26568594.0	88.8	3352240.0	11.2	151917.0	0.51	BA70_CA2_plx_76_1	1
25006489.0	20711135.0	82.82	4295354.0	17.18	99502.0	0.4	BA70_CA2_svz_83_1	1
27294199.0	22700200.0	83.17	4593999.0	16.83	256814.0	0.94	BA70_CA2_vis_76_1	1
32213981.0	24625176.0	76.44	7588805.0	23.56	126102.0	0.39	BA70_CA2_cc_83_1	1
19139864.0	15970204.0	83.44	3169660.0	16.56	53426.0	0.28	BA70_CA2_mid_76_1	1
7136616.0	6145584.0	86.11	991032.0	13.89	19115.0	0.27	BA70_CA2_pon_76_1	1
16023577.0	11935621.0	74.49	4087956.0	25.51	38296.0	0.24	BA70_CA2_th_83_1	1
23679523.0	19053690.0	80.46	4625833.0	19.54	170717.0	0.72	BA70_CA2_med_76_1	1
26681841.0	23117847.0	86.64	3563994.0	13.36	84410.0	0.32	BA71_CA2_th_67_1	1
13877580.0	11555221.0	83.27	2322359.0	16.73	66427.0	0.48	BA71_CA2_cor_77_1	1
31572821.0	27342809.0	86.6	4230012.0	13.4	85744.0	0.27	BA71_CA2_cp_77_1	1
34328732.0	26228204.0	76.4	8100528.0	23.6	74921.0	0.22	BA71_CA2_hy_83_1	1
34099820.0	29710206.0	87.13	4389614.0	12.87	57174.0	0.17	BA71_CA2_hi_83_1	1
25488719.0	20480929.0	80.35	5007790.0	19.65	64096.0	0.25	BA71_CA2_th_77_1	1
16147.0	8336.0	51.63	7811.0	48.37	29.0	0.18	BA71_CA2_hi2_83_1	1
36203408.0	30870803.0	85.27	5332605.0	14.73	96106.0	0.27	BA71_CA2_hi_77_1	1
29186913.0	25586177.0	87.66	3600736.0	12.34	56154.0	0.19	BA71_CA2_hy_67_1	1
23356897.0	18774616.0	80.38	4582281.0	19.62	136568.0	0.58	BA71_CA2_cor_78_1	1
26516233.0	22172036.0	83.62	4344197.0	16.38	74069.0	0.28	BA71_CA2_cp_78_1	1
21419663.0	15730540.0	73.44	5689123.0	26.56	49559.0	0.23	BA71_CA2_svz_78_1	1
28126170.0	21376179.0	76.0	6749991.0	24.0	52306.0	0.19	BA71_CA2_cc_78_1	1
9589042.0	7020189.0	73.21	2568853.0	26.79	19732.0	0.21	BA71_CA2_th_78_1	1
66915422.0	49085620.0	73.35	17829802.0	26.65	216752.0	0.32	BA71_CA2_plx_83_1	1
23536061.0	20073032.0	85.29	3463029.0	14.71	92220.0	0.39	BA71_CA2_hi_78_1	1
29199705.0	24202627.0	82.89	4997078.0	17.11	109239.0	0.37	BA72_CA2_mid_83_1	1
18806509.0	15487491.0	82.35	3319018.0	17.65	40621.0	0.22	BA72_CA2_pon_83_1	1
23359574.0	17309028.0	74.1	6050546.0	25.9	43488.0	0.19	BA72_CA2_vis_77_1	1
19731783.0	12376911.0	62.73	7354872.0	37.27	36023.0	0.18	BA72_CA2_vis_83_1	1
22933787.0	14979060.0	65.31	7954727.0	34.69	55489.0	0.24	BA72_CA2_mid_77_1	1
29448229.0	17654217.0	59.95	11794012.0	40.05	40076.0	0.14	BA72_CA2_pon_77_1	1
31123631.0	21033200.0	67.58	10090431.0	32.42	45449.0	0.15	BA72_CA2_cer_77_1	1
23818759.0	18305313.0	76.85	5513446.0	23.15	56118.0	0.24	BA72_CA2_med_77_1	1
39172730.0	32521419.0	83.02	6651311.0	16.98	186714.0	0.48	BA72_CA2_plx_78_1	1
34878687.0	29111648.0	83.47	5767039.0	16.53	142846.0	0.41	BA72_CA2_hi2_78_1	1
30561034.0	24877509.0	81.4	5683525.0	18.6	91688.0	0.3	BA72_CA2_vis_78_1	1
39501911.0	26731521.0	67.67	12770390.0	32.33	61364.0	0.16	BA72_CA2_ent_78_1	1
38973196.0	30498556.0	78.26	8474640.0	21.74	48803.0	0.13	BA72_CA2_cer_83_1	1
26633847.0	20384634.0	76.54	6249213.0	23.46	59328.0	0.22	BA72_CA2_pon_78_1	1
29127168.0	23150874.0	79.48	5976294.0	20.52	66433.0	0.23	BA72_CA2_cer_78_1	1
12221175.0	11060166.0	90.5	1161009.0	9.5	6729.0	0.06	BA72_CA2_med_83_1	1
29182803.0	22562726.0	77.32	6620077.0	22.68	157978.0	0.54	BA73_CA2_plx_67_1	1
