V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	mouse_ID	fastq_names	plate	brain_region_long	age	sex
155	BA10	CA1_cp_37	27	CA1_cp_37	BulkSeq_cp_37	CA1	CA1_cp_37	cp	37	BA10_CA1_cp_37_1	P24	Caudate putamen	3	Female
156	BA10	CA1_cp_38	28	CA1_cp_38	BulkSeq_cp_38	CA1	CA1_cp_38	cp	38	BA10_CA1_cp_38_1	P24	Caudate putamen	15	Female
159	BA10	CA1_cp_41	31	CA1_cp_41	BulkSeq_cp_41	CA1	CA1_cp_41	cp	41	BA10_CA1_cp_41_1	P24	Caudate putamen	3	Female
160	BA10	CA1_cp_42	32	CA1_cp_42	BulkSeq_cp_42	CA1	CA1_cp_42	cp	42	BA10_CA1_cp_42_1	P24	Caudate putamen	15	Female
163	BA11	CA1_cp_45	3	CA1_cp_45	BulkSeq_cp_45	CA1	CA1_cp_45	cp	45	BA11_CA1_cp_45_1	P24	Caudate putamen	3	Female
164	BA11	CA1_cp_46	4	CA1_cp_46	BulkSeq_cp_46	CA1	CA1_cp_46	cp	46	BA11_CA1_cp_46_1	P24	Caudate putamen	15	Female
167	BA11	CA1_cp_49	15	CA1_cp_49	BulkSeq_cp_49	CA1	CA1_cp_49	cp	49	BA11_CA1_cp_49_1	P24	Caudate putamen	3	Female
168	BA11	CA1_cp_50	16	CA1_cp_50	BulkSeq_cp_50	CA1	CA1_cp_50	cp	50	BA11_CA1_cp_50_1	P24	Caudate putamen	15	Female
171	BA11	CA1_cp_53	27	CA1_cp_53	BulkSeq_cp_53	CA1	CA1_cp_53	cp	53	BA11_CA1_cp_53_1	P24	Caudate putamen	3	Female
172	BA11	CA1_cp_54	28	CA1_cp_54	BulkSeq_cp_54	CA1	CA1_cp_54	cp	54	BA11_CA1_cp_54_1	P24	Caudate putamen	15	Female
178	BA12	CA1_svz_1	2	CA1_svz_1	BulkSeq_svz_1	CA1	CA1_svz_1	svz	1	BA12_CA1_svz_1_1	P24	Subventricular zone	12	Female
181	BA12	CA1_svz_4	13	CA1_svz_4	BulkSeq_svz_4	CA1	CA1_svz_4	svz	4	BA12_CA1_svz_4_1	P24	Subventricular zone	12	Female
184	BA12	CA1_svz_7	16	CA1_svz_7	BulkSeq_svz_7	CA1	CA1_svz_7	svz	7	BA12_CA1_svz_7_1	P24	Subventricular zone	12	Female
