V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	mouse_ID	fastq_names	plate	brain_region_long	age	sex
101	BA7	CA1_cor_42	13	CA1_cor_42	BulkSeq_cor_42	CA1	CA1_cor_42	cor	42	BA7_CA1_cor_42_1	P24	Motor cortex	15	Female
102	BA7	CA1_cor_43	14	CA1_cor_43	BulkSeq_cor_43	CA1	CA1_cor_43	cor	43	BA7_CA1_cor_43_1	P24	Motor cortex	18	Female
103	BA7	CA1_cor_44	15	CA1_cor_44	BulkSeq_cor_44	CA1	CA1_cor_44	cor	44	BA7_CA1_cor_44_1	P24	Motor cortex	21	Female
104	BA7	CA1_cor_45	16	CA1_cor_45	BulkSeq_cor_45	CA1	CA1_cor_45	cor	45	BA7_CA1_cor_45_1	P24	Motor cortex	3	Female
105	BA7	CA1_cor_46	25	CA1_cor_46	BulkSeq_cor_46	CA1	CA1_cor_46	cor	46	BA7_CA1_cor_46_1	P24	Motor cortex	15	Female
106	BA7	CA1_cor_47	26	CA1_cor_47	BulkSeq_cor_47	CA1	CA1_cor_47	cor	47	BA7_CA1_cor_47_1	P24	Motor cortex	18	Female
107	BA7	CA1_cor_48	27	CA1_cor_48	BulkSeq_cor_48	CA1	CA1_cor_48	cor	48	BA7_CA1_cor_48_1	P24	Motor cortex	21	Female
108	BA7	CA1_cor_49	28	CA1_cor_49	BulkSeq_cor_49	CA1	CA1_cor_49	cor	49	BA7_CA1_cor_49_1	P24	Motor cortex	3	Female
109	BA7	CA1_cor_50	29	CA1_cor_50	BulkSeq_cor_50	CA1	CA1_cor_50	cor	50	BA7_CA1_cor_50_1	P24	Motor cortex	15	Female
110	BA7	CA1_cor_51	30	CA1_cor_51	BulkSeq_cor_51	CA1	CA1_cor_51	cor	51	BA7_CA1_cor_51_1	P24	Motor cortex	18	Female
111	BA7	CA1_cor_52	31	CA1_cor_52	BulkSeq_cor_52	CA1	CA1_cor_52	cor	52	BA7_CA1_cor_52_1	P24	Motor cortex	21	Female
112	BA7	CA1_cor_53	32	CA1_cor_53	BulkSeq_cor_53	CA1	CA1_cor_53	cor	53	BA7_CA1_cor_53_1	P24	Motor cortex	3	Female
113	BA8	CA1_cor_54	1	CA1_cor_54	BulkSeq_cor_54	CA1	CA1_cor_54	cor	54	BA8_CA1_cor_54_1	P24	Motor cortex	15	Female
114	BA8	CA1_cor_55	2	CA1_cor_55	BulkSeq_cor_55	CA1	CA1_cor_55	cor	55	BA8_CA1_cor_55_1	P24	Motor cortex	18	Female
115	BA8	CA1_cor_56	3	CA1_cor_56	BulkSeq_cor_56	CA1	CA1_cor_56	cor	56	BA8_CA1_cor_56_1	P24	Motor cortex	21	Female
119	BA8	CA1_cp_1	15	CA1_cp_1	BulkSeq_cp_1	CA1	CA1_cp_1	cp	1	BA8_CA1_cp_1_1	P24	Caudate putamen	12	Female
122	BA8	CA1_cp_4	26	CA1_cp_4	BulkSeq_cp_4	CA1	CA1_cp_4	cp	4	BA8_CA1_cp_4_1	P24	Caudate putamen	12	Female
125	BA8	CA1_cp_7	29	CA1_cp_7	BulkSeq_cp_7	CA1	CA1_cp_7	cp	7	BA8_CA1_cp_7_1	P24	Caudate putamen	12	Female
128	BA8	CA1_cp_10	32	CA1_cp_10	BulkSeq_cp_10	CA1	CA1_cp_10	cp	10	BA8_CA1_cp_10_1	P24	Caudate putamen	12	Female
131	BA9	CA1_cp_13	3	CA1_cp_13	BulkSeq_cp_13	CA1	CA1_cp_13	cp	13	BA9_CA1_cp_13_1	P24	Caudate putamen	12	Female
155	BA10	CA1_cp_37	27	CA1_cp_37	BulkSeq_cp_37	CA1	CA1_cp_37	cp	37	BA10_CA1_cp_37_1	P24	Caudate putamen	3	Female
156	BA10	CA1_cp_38	28	CA1_cp_38	BulkSeq_cp_38	CA1	CA1_cp_38	cp	38	BA10_CA1_cp_38_1	P24	Caudate putamen	15	Female
157	BA10	CA1_cp_39	29	CA1_cp_39	BulkSeq_cp_39	CA1	CA1_cp_39	cp	39	BA10_CA1_cp_39_1	P24	Caudate putamen	18	Female
158	BA10	CA1_cp_40	30	CA1_cp_40	BulkSeq_cp_40	CA1	CA1_cp_40	cp	40	BA10_CA1_cp_40_1	P24	Caudate putamen	21	Female
159	BA10	CA1_cp_41	31	CA1_cp_41	BulkSeq_cp_41	CA1	CA1_cp_41	cp	41	BA10_CA1_cp_41_1	P24	Caudate putamen	3	Female
160	BA10	CA1_cp_42	32	CA1_cp_42	BulkSeq_cp_42	CA1	CA1_cp_42	cp	42	BA10_CA1_cp_42_1	P24	Caudate putamen	15	Female
161	BA11	CA1_cp_43	1	CA1_cp_43	BulkSeq_cp_43	CA1	CA1_cp_43	cp	43	BA11_CA1_cp_43_1	P24	Caudate putamen	18	Female
162	BA11	CA1_cp_44	2	CA1_cp_44	BulkSeq_cp_44	CA1	CA1_cp_44	cp	44	BA11_CA1_cp_44_1	P24	Caudate putamen	21	Female
163	BA11	CA1_cp_45	3	CA1_cp_45	BulkSeq_cp_45	CA1	CA1_cp_45	cp	45	BA11_CA1_cp_45_1	P24	Caudate putamen	3	Female
164	BA11	CA1_cp_46	4	CA1_cp_46	BulkSeq_cp_46	CA1	CA1_cp_46	cp	46	BA11_CA1_cp_46_1	P24	Caudate putamen	15	Female
165	BA11	CA1_cp_47	13	CA1_cp_47	BulkSeq_cp_47	CA1	CA1_cp_47	cp	47	BA11_CA1_cp_47_1	P24	Caudate putamen	18	Female
166	BA11	CA1_cp_48	14	CA1_cp_48	BulkSeq_cp_48	CA1	CA1_cp_48	cp	48	BA11_CA1_cp_48_1	P24	Caudate putamen	21	Female
167	BA11	CA1_cp_49	15	CA1_cp_49	BulkSeq_cp_49	CA1	CA1_cp_49	cp	49	BA11_CA1_cp_49_1	P24	Caudate putamen	3	Female
168	BA11	CA1_cp_50	16	CA1_cp_50	BulkSeq_cp_50	CA1	CA1_cp_50	cp	50	BA11_CA1_cp_50_1	P24	Caudate putamen	15	Female
169	BA11	CA1_cp_51	25	CA1_cp_51	BulkSeq_cp_51	CA1	CA1_cp_51	cp	51	BA11_CA1_cp_51_1	P24	Caudate putamen	18	Female
170	BA11	CA1_cp_52	26	CA1_cp_52	BulkSeq_cp_52	CA1	CA1_cp_52	cp	52	BA11_CA1_cp_52_1	P24	Caudate putamen	21	Female
171	BA11	CA1_cp_53	27	CA1_cp_53	BulkSeq_cp_53	CA1	CA1_cp_53	cp	53	BA11_CA1_cp_53_1	P24	Caudate putamen	3	Female
172	BA11	CA1_cp_54	28	CA1_cp_54	BulkSeq_cp_54	CA1	CA1_cp_54	cp	54	BA11_CA1_cp_54_1	P24	Caudate putamen	15	Female
173	BA11	CA1_cp_55	29	CA1_cp_55	BulkSeq_cp_55	CA1	CA1_cp_55	cp	55	BA11_CA1_cp_55_1	P24	Caudate putamen	18	Female
174	BA11	CA1_cp_56	30	CA1_cp_56	BulkSeq_cp_56	CA1	CA1_cp_56	cp	56	BA11_CA1_cp_56_1	P24	Caudate putamen	21	Female
178	BA12	CA1_svz_1	2	CA1_svz_1	BulkSeq_svz_1	CA1	CA1_svz_1	svz	1	BA12_CA1_svz_1_1	P24	Subventricular zone	12	Female
181	BA12	CA1_svz_4	13	CA1_svz_4	BulkSeq_svz_4	CA1	CA1_svz_4	svz	4	BA12_CA1_svz_4_1	P24	Subventricular zone	12	Female
184	BA12	CA1_svz_7	16	CA1_svz_7	BulkSeq_svz_7	CA1	CA1_svz_7	svz	7	BA12_CA1_svz_7_1	P24	Subventricular zone	12	Female
187	BA12	CA1_svz_10	27	CA1_svz_10	BulkSeq_svz_10	CA1	CA1_svz_10	svz	10	BA12_CA1_svz_10_1	P24	Subventricular zone	12	Female
190	BA12	CA1_svz_13	30	CA1_svz_13	BulkSeq_svz_13	CA1	CA1_svz_13	svz	13	BA12_CA1_svz_13_1	P24	Subventricular zone	12	Female
214	BA14	CA1_svz_37	14	CA1_svz_37	BulkSeq_svz_37	CA1	CA1_svz_37	svz	37	BA14_CA1_svz_37_1	P25	Subventricular zone	3	Female
215	BA14	CA1_svz_38	15	CA1_svz_38	BulkSeq_svz_38	CA1	CA1_svz_38	svz	38	BA14_CA1_svz_38_1	P25	Subventricular zone	15	Female
216	BA14	CA1_svz_39	16	CA1_svz_39	BulkSeq_svz_39	CA1	CA1_svz_39	svz	39	BA14_CA1_svz_39_1	P25	Subventricular zone	18	Female
217	BA14	CA1_svz_40	25	CA1_svz_40	BulkSeq_svz_40	CA1	CA1_svz_40	svz	40	BA14_CA1_svz_40_1	P25	Subventricular zone	21	Female
218	BA14	CA1_svz_41	26	CA1_svz_41	BulkSeq_svz_41	CA1	CA1_svz_41	svz	41	BA14_CA1_svz_41_1	P25	Subventricular zone	3	Female
219	BA14	CA1_svz_42	27	CA1_svz_42	BulkSeq_svz_42	CA1	CA1_svz_42	svz	42	BA14_CA1_svz_42_1	P25	Subventricular zone	15	Female
220	BA14	CA1_svz_43	28	CA1_svz_43	BulkSeq_svz_43	CA1	CA1_svz_43	svz	43	BA14_CA1_svz_43_1	P25	Subventricular zone	18	Female
221	BA14	CA1_svz_44	29	CA1_svz_44	BulkSeq_svz_44	CA1	CA1_svz_44	svz	44	BA14_CA1_svz_44_1	P25	Subventricular zone	21	Female
222	BA14	CA1_svz_45	30	CA1_svz_45	BulkSeq_svz_45	CA1	CA1_svz_45	svz	45	BA14_CA1_svz_45_1	P25	Subventricular zone	3	Female
223	BA14	CA1_svz_46	31	CA1_svz_46	BulkSeq_svz_46	CA1	CA1_svz_46	svz	46	BA14_CA1_svz_46_1	P25	Subventricular zone	15	Female
224	BA14	CA1_svz_47	32	CA1_svz_47	BulkSeq_svz_47	CA1	CA1_svz_47	svz	47	BA14_CA1_svz_47_1	P25	Subventricular zone	18	Female
225	BA15	CA1_svz_48	1	CA1_svz_48	BulkSeq_svz_48	CA1	CA1_svz_48	svz	48	BA15_CA1_svz_48_1	P25	Subventricular zone	21	Female
226	BA15	CA1_svz_49	2	CA1_svz_49	BulkSeq_svz_49	CA1	CA1_svz_49	svz	49	BA15_CA1_svz_49_1	P25	Subventricular zone	3	Female
227	BA15	CA1_svz_50	3	CA1_svz_50	BulkSeq_svz_50	CA1	CA1_svz_50	svz	50	BA15_CA1_svz_50_1	P25	Subventricular zone	15	Female
228	BA15	CA1_svz_51	4	CA1_svz_51	BulkSeq_svz_51	CA1	CA1_svz_51	svz	51	BA15_CA1_svz_51_1	P25	Subventricular zone	18	Female
229	BA15	CA1_svz_52	13	CA1_svz_52	BulkSeq_svz_52	CA1	CA1_svz_52	svz	52	BA15_CA1_svz_52_1	P25	Subventricular zone	21	Female
230	BA15	CA1_svz_53	14	CA1_svz_53	BulkSeq_svz_53	CA1	CA1_svz_53	svz	53	BA15_CA1_svz_53_1	P25	Subventricular zone	3	Female
